DateTime,AddedIPs,RemovedIPs
1518616379,859,859
1518617536,692,692
1518618492,574,574
1518619477,739,739
1518620660,690,690
1518621616,542,542
1518622601,634,634
1518623533,773,773
1518624773,815,815
1518625699,645,645
1518626666,599,599
1518627630,528,528
1518628590,717,717
1518629554,668,668
1518630498,620,620
1518631481,623,623
1518632418,609,609
1518633396,641,641
1518634335,757,757
1518635305,360,360
1518636526,1067,1067
1518637457,770,770
1518638424,636,636
1518639387,613,613
1518640617,838,838
1518641533,635,635
1518642495,303,303
1518643461,1114,1114
1518644420,631,631
1518645392,635,635
1518646351,2000,2000
1518647312,696,696
1518649498,1301,1301
1518650417,658,658
1518651388,596,596
1518652341,735,735
1518653330,589,589
1518654264,685,685
1518655215,627,627
1518656176,759,759
1518657415,473,473
1518658340,935,935
1518659565,751,751
1518660520,660,660
1518661699,853,853
1518662660,673,673
1518663614,593,593
1518664585,293,293
1518665782,1094,1094
1518666751,714,714
1518667714,591,591
1518668694,620,620
1518669861,918,918
1518670826,624,624
1518671781,654,654
1518672735,728,728
1518673956,952,952
1518674920,549,549
1518675857,583,583
1518676816,720,720
1518678028,768,768
1518678991,712,712
1518679936,628,628
1518680902,688,688
1518681861,530,530
1518682812,722,722
1518683796,627,627
1518684735,549,549
1518685703,359,359
1518686656,804,804
1518687613,486,486
1518688580,609,609
1518689789,799,799
1518690742,706,706
1518691697,579,579
1518692667,412,412
1518693618,723,723
1518694596,604,604
1518695539,656,656
1518696519,683,683
1518697708,815,815
1518698665,477,477
1518699630,658,658
1518700590,668,668
1518702054,849,849
1518702976,651,651
1518703951,634,634
1518704896,577,577
1518705864,567,567
1518706819,593,593
1518707820,445,445
1518708742,813,813
1518709708,654,654
1518710665,599,599
1518711690,770,770
1518712830,725,725
1518713770,488,488
1518714744,725,725
1518715697,595,595
1518716794,646,646
1518719339,1544,1544
1518720765,952,952
1518721718,362,362
1518722652,831,831
1518723637,687,687
1518724602,558,558
1518725544,810,810
1518726494,571,571
1518727475,665,665
1518728451,501,501
1518729401,898,898
1518730344,687,687
1518731301,509,509
1518732526,2000,2000
1518733475,789,789
1518734415,707,707
1518735384,743,743
1518736860,1216,1216
1518737777,671,671
1518738741,1017,1017
1518739709,1133,1133
1518740912,1338,1338
1518741858,884,884
1518742833,353,353
1518743782,187,187
1518744763,225,225
1518745698,197,197
1518746669,130,130
1518747620,188,188
1518748589,140,140
1518749535,129,129
1518750506,1284,1284
1518751459,1517,1517
1518752677,1914,1914
1518753619,575,575
1518754591,592,592
1518755801,771,771
1518756737,635,635
1518757706,647,647
1518758661,638,638
1518759615,596,596
1518760576,738,738
1518761537,550,550
1518762498,670,670
1518763730,765,765
1518764905,547,547
1518765857,786,786
1518766817,652,652
1518767780,563,563
1518768741,658,658
1518769691,500,500
1518770656,691,691
1518771624,547,547
1518772585,555,555
1518773537,671,671
1518774503,632,632
1518775467,525,525
1518776420,571,571
1518777397,552,552
1518778341,605,605
1518779546,675,675
1518780740,742,742
1518781693,744,744
1518782754,668,668
1518784158,717,717
1518785296,761,761
1518786545,498,498
1518787727,1350,1350
1518788764,656,656
1518789943,1166,1166
1518791061,1106,1106
1518792029,1139,1139
1518793033,1472,1839
1518793964,17,1005
1518795138,27,211
1518796892,37,87
1518798290,65,66
1518799247,39,53
1518800228,73,35
1518801145,58,30
1518802160,80,31
1518803064,20,29
1518804302,36,43
1518805263,75,22
1518806227,48,24
1518807386,50,19
1518808352,64,26
1518809356,74,43
1518810292,38,34
1518811580,43,44
1518812664,63,53
1518813613,37,22
1518814644,124,28
1518815800,121,61
1518816774,174,54
1518817720,50,22
1518818708,33,31
1518819644,27,60
1518820599,40,30
1518821545,48,36
1518822786,82,39
1518824228,101,70
1518825414,63,93
1518826350,34,101
1518827330,41,164
1518828275,46,67
1518829231,87,37
1518830239,35,24
1518831161,369,29
1518832109,106,27
1518833071,34,60
1518834309,58,52
1518835249,41,54
1518836173,49,42
1518837172,53,29
1518838348,68,41
1518839346,26,33
1518840261,136,52
1518841221,36,16
1518842186,82,357
1518843154,102,81
1518844111,136,24
1518845056,1575,863
1518846012,293,293
1518846974,200,200
1518847940,48,48
1518848896,60,60
1518849857,95,95
1518850830,86,86
1518851782,55,55
1518852743,40,40
1518853700,23,23
1518854673,51,51
1518855622,2000,2000
1518856580,1275,1275
1518857537,1503,1503
1518858504,476,476
1518859456,629,629
1518860417,1045,1045
1518861379,1261,1261
1518862340,1325,1325
1518863307,1086,1086
1518864273,1169,1169
1518865458,1651,1651
1518866419,1206,1206
1518867385,1565,1565
1518868334,1753,1753
1518869419,1819,1819
1518870523,2000,2000
1518871476,1551,1551
1518872443,2000,2000
1518873620,152,152
1518874576,92,92
1518875535,592,592
1518877002,1788,1788
1518877958,583,583
1518878916,456,456
1518879861,759,759
1518882540,1485,1485
1518883460,664,664
1518884421,519,519
1518885393,644,644
1518886369,586,586
1518887297,272,272
1518888260,828,828
1518889219,480,480
1518890461,725,725
1518891375,480,480
1518892349,536,536
1518893556,735,735
1518894533,787,787
1518895455,709,709
1518896420,594,594
1518897401,637,637
1518898476,848,848
1518899533,706,706
1518900496,792,792
1518901468,501,501
1518902659,137,137
1518903613,79,79
1518904578,719,719
1518905534,2000,2000
1518906751,677,677
1518907692,594,594
1518908664,710,710
1518909878,357,357
1518910946,970,970
1518912279,1404,1404
1518913217,499,499
1518914185,540,540
1518915139,694,694
1518916110,748,748
1518917054,275,275
1518918258,123,123
1518919222,96,96
1518920177,2000,2000
1518921398,867,867
1518922334,607,607
1518923308,276,276
1518924258,123,123
1518925479,151,151
1518926424,754,754
1518927391,1578,1578
1518928339,661,661
1518929306,574,574
1518930261,748,748
1518931217,930,930
1518932175,650,650
1518933156,534,534
1518934096,565,565
1518935054,721,721
1518936258,861,861
1518937484,554,554
1518938411,92,92
1518939373,86,86
1518940354,98,98
1518941322,1942,1942
1518942260,988,988
1518943215,519,519
1518944182,768,768
1518945405,243,243
1518946340,943,943
1518948297,1175,1175
1518949232,535,535
1518950178,657,657
1518951137,694,694
1518952116,257,257
1518953061,717,717
1518954020,573,573
1518954978,601,601
1518956060,625,625
1518957143,623,623
1518958095,500,500
1518959068,685,685
1518960032,321,321
1518960992,853,853
1518961955,830,830
1518962999,668,668
1518964100,869,869
1518965073,547,547
1518966015,557,557
1518966987,143,143
1518967959,103,103
1518968919,86,86
1518969860,1035,1035
1518970817,1416,1416
1518972035,529,529
1518972995,1012,1012
1518973937,212,212
1518974891,939,939
1518975878,613,613
1518976843,557,557
1518977777,527,527
1518978741,659,659
1518979714,591,591
1518980662,448,448
1518981619,127,127
1518982595,125,125
1518983535,1005,1005
1518984491,1128,1128
1518985459,543,543
1518986419,674,674
1518987377,654,654
1518988350,163,163
1518989292,998,998
1518990281,522,522
1518991246,1933,1933
1518992208,412,412
1518993136,856,856
1518994099,618,618
1518996604,499,499
1518997696,1614,1614
1518998674,572,572
1518999617,478,478
1519000592,435,435
1519001537,930,930
1519002510,290,290
1519003457,672,672
1519004421,780,780
1519005379,562,562
1519006347,647,647
1519007293,537,537
1519008261,692,692
1519009234,520,520
1519010181,90,90
1519011135,114,114
1519012098,1244,1244
1519013065,948,948
1519014021,514,514
1519014982,487,487
1519015943,878,878
1519016907,316,316
1519017863,804,804
1519018814,645,645
1519019777,563,563
1519020737,464,464
1519021722,497,497
1519022661,780,780
1519023624,593,593
1519024581,122,122
1519025557,105,105
1519026492,1299,1299
1519027465,705,705
1519028421,518,518
1519029385,452,452
1519030338,738,738
1519031307,575,575
1519032254,273,273
1519033223,108,108
1519034190,1720,1720
1519035388,655,655
1519036334,533,533
1519037313,800,800
1519038506,471,471
1519039457,100,100
1519040424,103,103
1519041389,291,291
1519042462,1672,1672
1519043784,930,930
1519044743,659,659
1519045715,327,327
1519046905,108,108
1519047864,584,584
1519048820,1405,1405
1519049792,439,439
1519050744,680,680
1519051706,874,874
1519052658,389,389
1519053636,302,302
1519054579,433,433
1519055543,1885,1885
1519056509,580,580
1519057459,670,670
1519058659,964,964
1519059635,536,536
1519060582,127,127
1519061813,125,125
1519062733,92,92
1519063701,39,39
1519064681,1664,1664
1519065617,1383,1383
1519066571,786,786
1519067543,155,155
1519068492,996,996
1519069485,726,726
1519070421,552,552
1519071394,470,470
1519072337,638,638
1519074874,1454,1454
1519075946,710,710
1519076894,464,464
