DateTime,AddedIPs,RemovedIPs
1518122550,4,5
1518124615,37,2
1518126731,3,5
1518128931,7,9
1518130975,10,9
1518132921,4,3
1518134953,1,3
1518136856,2,3
1518138993,7,2
1518140917,2,3
1518143013,4,5
1518144981,4,8
1518146817,3,3
1518149085,2,3
1518151034,10,3
1518152918,7,3
1518155106,1,3
1518157059,1,4
1518158929,5,5
1518160850,6,3
1518162755,10,3
1518164691,1,6
1518166594,2,8
1518168511,3,2
1518170486,6,5
1518172371,4,3
1518174277,2,4
1518176195,4,6
1518178135,6,2
1518180031,1,22
1518181836,3,6
1518183861,0,5
1518185805,3,3
1518187972,7,12
1518190124,1,2
1518192134,8,6
1518194189,4,6
1518196130,2,4
1518198019,6,5
1518199952,4,8
1518202109,3,4
1518204044,5,8
1518205952,7,8
1518207887,3,6
1518209786,3,6
1518211732,3,37
1518213878,2,3
1518215783,0,10
1518217972,2,8
1518220127,8,5
1518222061,3,2
1518223952,5,4
1518225893,3,6
1518227787,6,4
1518229979,6,5
1518231874,6,1
1518234056,20,5
1518235976,4,7
1518237893,9,6
1518240002,6,4
1518241963,3,0
1518244014,3,1
1518246087,4,9
1518247889,5,3
1518249862,5,7
1518251739,4,1
1518253953,5,3
1518256155,5,8
1518258031,6,3
1518259968,18,4
1518261867,9,1
1518263906,12,6
1518265709,3,4
1518267714,3,3
1518269576,4,2
1518271731,6,3
1518273655,1,5
1518275861,6,1
1518277957,2,5
1518279893,2,6
1518281788,1,2
1518283728,3,6
1518285686,3,4
1518287849,2,3
1518289726,6,8
1518291658,3,2
1518293577,8,8
1518295504,0,2
1518297409,4,3
1518299824,1,4
1518301717,6,0
1518303684,1,2
1518306005,2,9
1518308009,4,2
1518309896,1,4
1518311849,5,3
1518313733,1,4
1518315914,1,4
1518317809,17,5
1518319742,1,20
1518321682,4,4
1518323844,3,8
1518325731,1,5
1518327905,7,3
1518329813,6,2
1518331975,2,3
1518333885,3,4
1518335813,4,6
1518337965,12,4
1518339924,15,4
1518341814,4,3
1518343763,3,5
1518345650,3,16
1518347586,0,16
1518349490,5,11
1518351594,2,3
1518354080,7,4
1518355980,7,4
1518357893,4,5
1518359807,2,2
1518361941,2,2
1518363867,4,4
1518365710,7,1
1518367723,4,2
1518369755,172,3
1518371571,3,3
1518373782,5,3
1518375687,5,3
1518377797,3,5
1518379964,4,6
1518382143,5,2
1518384047,3,3
1518385958,1,2
1518387877,2,3
1518390113,12,2
1518392262,3,3
1518394144,3,3
1518396049,5,2
1518398200,6,3
1518400109,5,1
1518402040,2,1
1518403978,1,17
1518405895,3,0
1518407784,3,7
1518409715,10,1
1518411687,2,1
1518413803,2,5
1518415736,5,6
1518417868,1,1
1518419819,7,1
1518421951,1,4
1518423891,9,7
1518425778,9,17
1518427972,2,3
1518429886,1,4
1518431809,6,2
1518435025,17,3
1518437096,18,2
1518439242,3,2
1518441167,11,5
1518443086,5,4
1518445018,1,3
1518446936,3,1
1518449097,0,11
1518450998,3,3
1518452922,4,4
1518455078,9,0
1518456990,2,174
1518458940,6,3
1518460956,8,4
1518462772,1,6
1518464696,7,2
1518466603,1,1
1518469519,3,9
1518471657,1,1
1518473589,1,4
1518475461,1,2
1518477420,2,13
1518479580,11,3
1518481466,5,5
1518483724,4,17
1518485576,3,1
1518487497,3,5
1518489627,5,1
1518491568,0,4
1518493460,4,2
1518495399,0,5
1518497301,3,6
1518499237,4,1
1518501138,2,2
1518503084,5,4
1518504986,3,4
1518506934,1,4
1518508885,2,4
1518510765,6,11
1518512673,4,9
1518514609,9,0
1518516531,4,3
1518518423,4,2
1518520613,5,13
1518522420,2,9
1518524441,1,18
1518526258,12,2
1518528069,5,7
1518530352,6,6
1518532156,4,2
1518534242,9,2
1518536434,1,0
1518538368,4,5
1518540282,3,0
1518542224,9,9
1518544135,9,6
1518546043,8,5
1518547960,1,6
1518549884,3,1
1518551810,9,5
1518553725,3,3
1518555701,0,1
1518557805,22,1
1518559717,4,3
1518561905,2,2
1518563806,3,4
1518566399,6,11
1518569242,8,7
1518571510,4,3
1518573405,5,4
1518575365,7,2
1518577836,5,2
1518579647,6,3
1518581767,3,1
1518583700,2,3
1518585637,3,4
1518587568,2,1
1518589428,2,3
1518591693,1,5
1518593823,7,2
1518595703,3,3
1518597896,5,4
1518599817,5,3
1518601740,2,9
1518603767,15,5
1518605579,4,2
1518607473,3,4
1518609409,14,2
1518611307,6,8
1518613290,5,7
1518615140,1,5
1518617101,1,5
1518619227,4,8
1518621178,23,5
1518623067,8,2
1518625231,3,2
1518627167,2,3
1518629098,6,9
1518631014,12,10
1518632935,8,7
1518634889,2,3
1518636998,4,7
1518638939,1,4
1518641088,3,1
1518643021,4,4
1518644944,7,22
1518646851,5,2
1518648951,7,4
1518650930,6,3
1518653027,1,3
1518655030,6,4
1518656928,2,4
1518659091,4,4
1518661261,3,10
1518663167,4,2
1518665332,1,3
1518667286,29,6
1518669432,8,2
1518671333,8,6
1518673498,3,2
1518675412,23,1
1518677578,9,2
1518679481,4,7
1518681412,0,4
1518683301,6,4
1518685296,1,5
1518687168,3,3
1518689342,3,5
1518691240,3,12
1518693172,2,4
1518695065,4,3
1518697417,2,5
1518699696,0,5
1518701604,3,1
1518703483,4,0
1518705425,7,4
1518707328,6,12
1518709284,6,17
1518711169,6,4
1518713351,4,4
1518715226,4,6
1518717199,5,7
1518719353,12,11
1518721308,4,3
1518723276,12,4
1518725094,4,2
1518726984,9,3
1518728950,8,3
1518730845,0,9
1518733017,3,4
1518734939,10,4
1518736997,8,8
1518739399,5,4
1518741411,12,5
1518743355,8,3
1518745241,4,2
1518747165,5,5
1518749079,6,5
1518751008,3,1
1518753173,5,32
1518755086,6,6
1518757323,2,8
1518759323,14,4
1518761549,3,22
1518763373,4,8
1518765407,6,3
1518767362,4,1
1518769244,6,4
1518771295,2,2
1518773295,3,2
1518775480,2,3
1518777411,2,0
1518779751,6,5
1518781709,4,2
1518783599,2,4
1518785553,5,0
1518787747,2,4
1518789692,2,2
1518791582,2,6
1518793498,5,9
1518796428,4,9
1518798307,6,3
1518800246,2,4
1518802177,2,4
1518804321,2,7
1518806245,1,12
1518808114,1,3
1518810034,1,12
1518812231,15,1
1518814143,10,16
1518816310,2,3
1518818213,2,1
1518820156,2,5
1518822309,1,12
1518824246,0,2
1518826369,4,7
1518828293,0,7
1518830258,1,9
1518832128,3,3
1518834329,0,7
1518836190,6,3
1518838365,7,4
1518840287,5,4
1518842205,4,4
1518844129,3,2
1518846030,1,14
1518847958,1,2
1518849876,2,1
1518851802,1,3
1518853720,1,4
1518855640,3,5
1518857555,3,3
1518859475,1,2
1518861397,1,3
1518863325,3,0
1518865477,3,5
1518867403,1,2
1518869437,1,2
1518871493,4,3
1518873756,5,5
1518875889,4,5
1518877977,3,3
1518879875,1,2
1518882048,3,3
1518883964,4,5
1518886083,1,2
1518888020,1,3
1518889941,2,2
1518891881,3,2
1518894232,4,2
1518898066,5,16
1518900045,1,11
1518902221,2,3
1518904135,4,1
1518906298,2,0
1518908207,2,3
1518910959,5,3
1518912774,3,4
1518914686,8,1
1518916614,1,2
1518918773,1,4
1518920663,2,0
1518922883,1,8
1518925162,1,6
1518927413,6,3
1518929339,4,5
1518931231,1,2
1518933169,5,0
1518935067,15,3
1518937004,2,2
1518938924,2,2
1518941048,4,2
1518942979,10,4
1518944903,4,2
1518947869,3,2
1518949710,3,2
1518951697,3,1
1518953572,5,3
1518955503,3,0
1518957633,4,4
1518959565,1,4
1518961476,1,7
1518963397,3,3
1518965240,10,3
1518967230,8,2
1518969382,4,1
1518971299,3,2
1518973470,6,3
1518975385,6,3
1518977314,4,1
1518979223,4,2
1518981206,4,2
1518983072,3,3
1518985009,1,1
1518986932,0,4
1518988844,4,0
1518990747,2,5
1518992663,4,2
1518995832,3,6
1518997707,3,1
1518999785,5,6
1519002082,4,4
1519003971,4,0
1519005889,5,1
1519007810,0,2
1519009714,1,1
1519011647,6,1
1519013568,4,5
1519015515,16,3
1519017405,4,2
1519019324,1,4
1519021241,2,15
1519023165,5,2
1519025061,2,3
1519027007,3,2
1519028918,2,7
1519030872,3,7
1519032760,11,4
1519034929,4,1
1519036815,2,3
1519039004,19,7
1519040897,0,1
1519042955,2,5
1519045277,1,0
1519047413,8,4
1519049330,7,3
1519051245,3,7
1519053148,3,9
1519055088,8,4
1519057015,3,4
1519059164,7,5
1519061068,2,0
1519062982,2,9
1519065238,5,5
1519067108,1,6
1519069267,6,5
1519071409,7,4
1519074315,4,12
1519076445,6,6
1519078275,6,3
1519080532,15,3
1519082450,3,2
1519084365,4,6
1519086538,3,5
1519088531,0,4
1519090370,4,2
1519092282,4,3
1519094208,5,2
1519096121,1,0
1519098013,7,5
1519100208,7,6
1519102132,5,16
1519104038,13,3
1519105982,5,2
1519107869,6,6
1519109820,6,3
1519111707,15,2
1519113688,14,2
1519115552,2,2
1519117518,6,5
1519119388,13,10
1519121342,4,3
1519123230,4,0
1519125324,13,20
