DateTime,Entries,UniqueIPs
1518681861,131248,131248
1518682812,131256,131256
1518683796,131266,131266
1518684735,131289,131289
1518685703,131297,131297
1518686656,131311,131311
1518687613,131316,131316
1518688580,131325,131325
1518689789,131319,131319
1518690742,131348,131348
1518691697,131357,131357
1518692667,131373,131373
1518693618,131396,131396
1518694596,131392,131392
1518695539,131414,131414
1518696519,131414,131414
1518697708,131437,131437
1518698665,131446,131446
1518699630,131458,131458
1518700590,131457,131457
1518702054,131456,131456
1518702976,131462,131462
1518703951,131475,131475
1518704896,131481,131481
1518705864,131500,131500
1518706819,131496,131496
1518707820,131496,131496
1518708742,131505,131505
1518709708,131512,131512
1518710665,131527,131527
1518711690,131544,131544
1518712830,131572,131572
1518713770,131587,131587
1518714744,131600,131600
1518715697,131602,131602
1518716794,131629,131629
1518717878,131636,131636
1518719339,131627,131627
1518720765,131638,131638
1518721718,131649,131649
1518722652,131671,131671
1518723637,131677,131677
1518724602,131693,131693
1518725544,131726,131726
1518726494,131725,131725
1518727475,131749,131749
1518728451,131758,131758
1518729401,131776,131776
1518730344,131746,131746
1518731301,131749,131749
1518732526,130549,130549
1518733475,130550,130550
1518734415,130548,130548
1518735384,130554,130554
1518736860,130567,130567
1518737777,130570,130570
1518738741,130588,130588
1518739709,130600,130600
1518740912,130625,130625
1518741858,130633,130633
1518742833,130632,130632
1518743782,130638,130638
1518744763,130636,130636
1518745698,130643,130643
1518746669,130642,130642
1518747620,130644,130644
1518748589,130637,130637
1518749535,130637,130637
1518750506,130658,130658
1518751459,130691,130691
1518752677,130710,130710
1518753619,130723,130723
1518754591,130721,130721
1518755801,130753,130753
1518756737,130748,130748
1518757706,130729,130729
1518758661,130733,130733
1518759615,130749,130749
1518760576,130738,130738
1518761537,130746,130746
1518762498,130753,130753
1518763730,130780,130780
1518764905,130785,130785
1518765857,130817,130817
1518766817,130829,130829
1518767780,130831,130831
1518768741,130836,130836
1518769691,130834,130834
1518770656,130835,130835
1518771624,130841,130841
1518772585,130847,130847
1518773537,130860,130860
1518774503,130871,130871
1518775467,130861,130861
1518776420,130852,130852
1518777397,130853,130853
1518778341,130865,130865
1518779546,130852,130852
1518780740,130865,130865
1518781693,130880,130880
1518782754,130903,130903
1518784158,130902,130902
1518785296,130905,130905
1518786545,130898,130898
1518787727,130910,130910
1518788764,130925,130925
1518789943,130935,130935
1518791061,130937,130937
1518791567,130934,130934
1518792029,130961,130961
1518793033,131043,131043
1518793482,131041,131041
1518793964,131026,131026
1518795138,131011,131011
1518796892,130999,130999
1518798290,130982,130982
1518799247,130962,130962
1518800228,130943,130943
1518801145,130943,130943
1518802160,130907,130907
1518803064,130892,130892
1518804302,130882,130882
1518805263,130876,130876
1518806227,130867,130867
1518807386,130849,130849
1518808352,130832,130832
1518809356,130832,130832
1518810292,130806,130806
1518811580,130796,130796
1518812213,130794,130794
1518812664,130779,130779
1518813157,130777,130777
1518813613,130755,130755
1518814126,130756,130756
1518814644,130733,130733
1518815800,130721,130721
1518816292,130723,130723
1518816774,130704,130704
1518817233,130705,130705
1518817720,130694,130694
1518818708,129685,129685
1518819177,129684,129684
1518819644,129666,129666
1518820599,129649,129649
1518821545,129641,129641
1518822291,129642,129642
1518822786,129622,129622
1518823486,129624,129624
1518824228,129593,129593
1518824866,129592,129592
1518825414,129580,129580
1518825879,129578,129578
1518826350,129566,129566
1518826859,129564,129564
1518827330,129557,129557
1518827825,129554,129554
1518828275,129548,129548
1518828780,129547,129547
1518829231,129529,129529
1518829748,129528,129528
1518830239,129528,129528
1518830678,129530,129530
1518831161,129520,129520
1518831647,129521,129521
1518832109,129508,129508
1518832596,129504,129504
1518833071,129489,129489
1518833808,129488,129488
1518834309,129473,129473
1518834764,129474,129474
1518835249,129465,129465
1518835728,129466,129466
1518836173,129464,129464
1518836692,129462,129462
1518837172,129453,129453
1518837883,129451,129451
1518838348,129409,129409
1518839346,129411,129411
1518839807,129410,129410
1518840261,129405,129405
1518841221,129403,129403
1518841714,129401,129401
1518842186,129390,129390
1518843154,129378,129378
1518843635,129375,129375
1518844111,129364,129364
1518844608,129420,129420
1518845056,129428,129428
1518845557,129485,129485
1518846012,129468,129468
1518846524,129493,129493
1518846974,129475,129475
1518847481,129493,129493
1518847940,129478,129478
1518848444,129482,129482
1518848896,129466,129466
1518849397,129480,129480
1518849857,129467,129467
1518850359,129481,129481
1518850830,129472,129472
1518851318,129485,129485
1518851782,129470,129470
1518852283,129482,129482
1518852743,129477,129477
1518853231,129487,129487
1518853700,129482,129482
1518854203,129484,129484
1518854673,129477,129477
1518855153,129483,129483
1518855622,129559,129559
1518856123,129565,129565
1518856580,129627,129627
1518857073,129636,129636
1518857537,129696,129696
1518858043,129703,129703
1518858504,129711,129711
1518858995,129719,129719
1518859456,129740,129740
1518859971,129754,129754
1518860417,129791,129791
1518860912,129797,129797
1518861379,129835,129835
1518861883,129851,129851
1518862340,129893,129893
1518862813,129892,129892
1518863307,129915,129915
1518864273,129950,129950
1518864998,129969,129969
1518865458,130023,130023
1518865961,130032,130032
1518866419,130047,130047
1518866913,130049,130049
1518867385,130106,130106
1518867885,130109,130109
1518868334,130143,130143
1518868840,130150,130150
1518869419,130181,130181
1518869806,130189,130189
1518870523,130201,130201
1518870981,130214,130214
1518871476,130259,130259
1518871946,130261,130261
1518872443,130291,130291
1518873160,130285,130285
1518873620,130246,130246
1518874118,130252,130252
1518874576,130257,130257
1518875078,130258,130258
1518875535,130278,130278
1518876267,130283,130283
1518877002,130334,130334
1518877457,130345,130345
1518877958,130360,130360
1518878435,130367,130367
1518878916,130383,130383
1518879375,130389,130389
1518879861,130405,130405
1518880360,130409,130409
1518882540,130464,130464
1518883460,130485,130485
